,geoid10,population,supermarket
782,245100603002008,42.0,934.7
783,245100603002009,31.0,929.8
784,245100603002010,27.0,872.2
785,245100603002011,83.0,918.1
786,245100603002012,98.0,870.4
787,245100603002013,59.0,938.1
788,245100603002014,102.0,879.5
789,245100603002015,97.0,821.0
790,245100603002016,66.0,837.3
791,245100603002017,53.0,786.0
792,245100604001000,7.0,1363.1
793,245100604001001,,881.3
794,245100604001002,44.0,937.2
795,245100604001003,14.0,883.4
796,245100604001004,,1217.2
797,245100604001005,,742.2
798,245100604001006,,791.9
799,245100604001007,86.0,855.8
800,245100604001008,30.0,790.4
801,245100604001009,33.0,749.0
802,245100604001010,19.0,646.0
803,245100604001011,86.0,564.6
804,245100604001012,92.0,679.4
805,245100604001013,50.0,504.4
806,245100604001014,35.0,729.7
807,245100604001015,,739.5
808,245100604001016,,720.8
809,245100604002000,28.0,718.4
810,245100604002001,16.0,735.4
811,245100604002002,,905.6
812,245100604002003,,882.0
813,245100604002004,18.0,823.6
814,245100604002005,21.0,783.1
815,245100604002006,42.0,716.9
816,245100604002007,70.0,852.5
817,245100604002008,27.0,942.8
818,245100604002009,29.0,899.3
819,245100604002010,113.0,952.9
820,245100604002011,147.0,918.0
821,245100604002012,,856.0
822,245100604002013,,939.0
823,245100604002014,,577.7
824,245100604002015,23.0,778.1
825,245100604002016,73.0,691.0
826,245100604002017,37.0,610.5
827,245100604002018,43.0,685.8
828,245100701001000,74.0,754.6
829,245100701001001,44.0,774.3
830,245100701001002,29.0,781.3
831,245100701001003,,734.9
832,245100701001004,95.0,712.0
833,245100701001005,108.0,659.5
834,245100701001006,125.0,553.8
835,245100701001007,105.0,609.0
836,245100701001008,95.0,641.9
837,245100701001009,102.0,560.4
838,245100701001010,103.0,616.9
839,245100701001011,,698.0
840,245100701001012,3.0,604.5
841,245100701001013,,709.8
842,245100701001014,26.0,629.0
843,245100701001015,33.0,685.3
844,245100701001016,133.0,493.9
845,245100701001017,117.0,437.4
846,245100701002000,69.0,503.6
847,245100701002001,123.0,531.6
848,245100701002002,130.0,592.3
849,245100701002003,155.0,636.1
850,245100701002004,124.0,615.1
851,245100701002005,127.0,558.5
852,245100701002006,18.0,486.6
853,245100701002007,156.0,437.9
854,245100701002008,111.0,470.6
855,245100701002009,131.0,526.1
856,245100701002010,125.0,593.4
857,245100701002011,90.0,568.9
858,245100701002012,97.0,526.6
859,245100701002013,88.0,472.8
860,245100701002014,151.0,412.5
861,245100701002015,70.0,385.6
862,245100701002016,,429.2
863,245100701002017,,483.1
864,245100702001000,5.0,615.2
865,245100702001001,,493.2
866,245100702001002,27.0,380.6
867,245100702001003,27.0,556.3
868,245100702001004,94.0,480.2
869,245100702001005,31.0,425.3
870,245100702001006,10.0,388.9
871,245100702001007,22.0,339.4
872,245100702001008,41.0,398.5
873,245100702001009,58.0,417.5
874,245100702001010,58.0,473.3
875,245100702001011,97.0,539.2
876,245100702001012,86.0,595.0
877,245100702001013,20.0,306.9
878,245100702002000,132.0,488.4
879,245100702002001,114.0,434.3
880,245100702002002,120.0,369.4
881,245100702002003,96.0,313.7
882,245100702002004,137.0,196.2
883,245100702002005,134.0,250.6
884,245100702002006,116.0,318.2
885,245100702002007,142.0,371.5
886,245100702003000,131.0,307.7
887,245100702003001,97.0,252.0
888,245100702003002,101.0,185.5
889,245100702003003,146.0,132.0
890,245100702003004,92.0,228.4
891,245100702003005,99.0,284.0
892,245100702003006,121.0,349.0
893,245100702003007,153.0,404.4
894,245100702004000,94.0,59.8
895,245100702004001,,163.9
896,245100702004002,46.0,197.7
897,245100702004003,54.0,273.2
898,245100702004004,53.0,281.8
899,245100702004005,98.0,229.2
900,245100702004006,86.0,158.7
901,245100702004007,129.0,161.1
902,245100702005000,106.0,246.8
903,245100702005001,113.0,251.0
904,245100702005002,109.0,318.9
905,245100702005003,72.0,372.6
906,245100702005004,80.0,254.7
907,245100702005005,84.0,199.3
908,245100702005006,71.0,164.3
909,245100702005007,80.0,104.3
910,245100703001000,43.0,343.5
911,245100703001001,42.0,410.0
912,245100703001002,73.0,448.9
913,245100703001003,77.0,508.3
914,245100703001004,52.0,574.2
915,245100703001005,29.0,610.5
916,245100703001006,,644.6
917,245100703001007,4.0,593.2
918,245100703001008,1.0,575.0
919,245100703001009,,478.1
